There are no photographs present in the provided image. Here is the text output of the document presented in the image:

---
CHECK-LIST - UNIDENTIFIED FLYING OBJECTS                                  UNCLASSIFIED

1. Date    13 Aug 47                       
2. Time    3/5
3. Location    Salmon Dam
4. Name of observer    ----------------
5. Occupation of observer    3/5
6. Address of observer    3/5
7. Place of observation    Salmon Dam
8. Number of objects    2
9. Distance of object from observer    ---------------- several miles away
10. Time in sight    3/5
11. Altitude    4,000 to 6,000 ft
12. Speed    great speed
13. Direction of flight    3/5
14. Tactics    3/5
15. Sound    echo of a motor - -----------
16. Size    3/5
17. Color    3/5 - reflected light
18. Shape    circular
19. Odor detected    3/5
20. Apparent construction    3/5
21. Exhaust trails    3/5
22. Weather conditions    3/5
23. Effects on clouds    3/5
24. Sketches or photographs    None
25. Manner of disappearance    3/5
26. Remarks:    (over)
                 DOWNGRADED AT 12 YEAR INTERVALS. NOT AUTOMATICALLY
                 DECLASSIFIED. DOD DIR 5200.10
---
