There is no photograph present in this image. This appears to be a page from a Project Blue Book record card, containing information about a reported UFO sighting.

PROJECT 10073 RECORD CARD
1. DATE OF REPORT  02/07/51
2. LOCATION  Indianapolis Indiana
3. DATE/TIME GROUP  N/A
4. TYPE OF OBSERVATION  G Ground-Radar O Air-Visual N/A
5. PHOTOS  Y Was taken G Y* (photos) O Civilian 
6. SOURCE  Civilian
7. LENGTH OF OBSERVATION  N/A
8. NUMBER OF OBJECTS  1
9. COURSE  N/A
10. BRIEF SUMMARY OF SIGHTING  NO. a UFO REPORT
11. COMMENTS  Disc of aircraft clipped from magazine.
