The image contains a table of information, but no photograph. The table appears to be from a Project Blue Book report and lists surface readings and corresponding calm readings for various altitudes.

Santa Maria Winds - 23 September 1951 - 1900 EST (0700 PST)
Surface	Calm
1,000'	100° - 2K
2,000'	130° - 2K
2,500'	200° - 3K
4,000'	340° - 6K
4,500'	340° - 7K
6,000'	340° - 7K
7,000'	340° - 7K
8,000'	330° - 4K
8,500'	240° - 2K
10,000'	190° - 8K
12,000'	200° - 12K
14,000'	220° - 13K
16,000'	230° - 6K
18,000'	240° - 6K
20,000'	250° - 6K
25,000'	270° - 10K
30,000'	270° - 5K
35,000'	270° - 7K
