The image provided does not contain any photograph. It appears to be a page from an old UFO report document from Project Blue Book, showing a table or grid with various data fields, including "Time", "Altitude Data", and other information. As an OCR (Optical Character Recognition) system, I will now produce the text output from the document:

TIME ALTITUDE DATA
2150 APPROX 3000 FT
2157 APPROX 4000 FT
2200 APPROX 4500 FT
2201 APPROX 5000 FT
2202 APPROX 5000 FT
2204 APPROX 5000 FT
2205 APPROX 5000 FT
2206 APPROX 5000 FT
2207 APPROX 5000 FT
2208 APPROX 5000 FT
2210 APPROX 5000 FT
2212 APPROX 5000 FT
2213 APPROX 5000 FT
2214 APPROX 5000 FT
2215 APPROX 5000 FT
2216 APPROX 5000 FT
2217 APPROX 5000 FT
2218 APPROX 5000 FT
2219 APPROX 5000 FT
2220 APPROX 5000 FT
2221 APPROX 5000 FT
2222 APPROX 5000 FT
2223 APPROX 5000 FT
2224 APPROX 5000 FT
2225 APPROX 5000 FT
2226 APPROX 5000 FT
2227 APPROX 5000 FT
2228 APPROX 5000 FT
2229 APPROX 5000 FT
2230 APPROX 5000 FT
2231 APPROX 5000 FT
2232 APPROX 5000 FT
2233 APPROX 5000 FT
2234 APPROX 5000 FT
2235 APPROX 5000 FT
2236 APPROX 5000 FT
2237 APPROX 5000 FT
2238 APPROX 5000 FT
2239 APPROX 5000 FT
2240 APPROX 5000 FT
2241 APPROX 5000 FT
2242 APPROX 5000 FT
2243 APPROX 5000 FT
2244 APPROX 5000 FT
2245 APPROX 5000 FT
2246 APPROX 5000 FT
2247 APPROX 5000 FT
2248 APPROX 5000 FT
2249 APPROX 5000 FT
2250 APPROX 5000 FT
