The image does not contain any photographs. It appears to be a list of UFO sightings from 16-30 April 1952, with details such as the date, location, observer, and evaluation of each sighting.

16 - 30 APRIL 1952 SIGHTINGS
DATE LOCATION OBSERVER EVALUATION
16 Madison, Wisconsin AIRCRAFT
16 Shreveport, Louisiana BALLOON
16 Vallejo, California ASTRO (METEOR) AIRCRAFT
17 Salt Saint Marie, Michigan BALLOON
17 Longmeadow, Massachusetts UNIDENTIFIED
17 Port Hueneme, California AIRCRAFT
17-18 Yuma Test Station, Arizona UNIDENTIFIED
18 Corner Brook, Newfoundland UNIDENTIFIED
19 Corner Brook, Newfoundland UNIDENTIFIED
19 Bethson, Pensylvania ASTRO (METEOR)
19 Janesville, New York ASTRO (STARS/PLANETS)
20 Solano County, California ASTRO (SUN/MOON) 
20 Hallingdal, Norway ASTRO (SUN/MOON)
20 Wright-Patterson AFB, Ohio ASTRO (SUN/MOON)
20 Wright-Patterson AFB, Ohio ASTRO (SUN/MOON)
20 Griffin Park, L.A., California INSUFFICIENT DATA
21 Almasaz, Spain INSUFFICIENT DATA
21 Across, Wisconsin INSUFFICIENT DATA
21 Lake Whatcom, Washington UNIDENTIFIED
22 Condon, Oregon INSUFFICIENT DATA
23 Hillsboro, Oregon INSUFFICIENT DATA
24 Bellows Hill, Vermont MILITARY
24 Milton, Massachusetts OTHER (PSYCHOLOGICAL)
24 Oak Forest, Texas OTHER (BIRDS)
24 Fairchild AFB, Washington INSUFFICIENT DATA
24 Waco, Texas INSUFFICIENT DATA
24 Colorado Springs, Colorado AIRCRAFT
24 Dallas, Texas INSUFFICIENT DATA
25 Thule, Greenland OTHER (WATER TRAILS)
25 Parmstadt, Germany OTHER (DUCKS)
26 Sioux North Dakota AIRCRAFT
27 Royal Oak, Michigan UNIDENTIFIED
27 Roseville, Michigan ASTRO (METEOR)
27 Selfridge AFB, Michigan ASTRO (METEOR)
27 Washtenaw, Michigan INSUFFICIENT DATA
27 Yuma, Arizona INSUFFICIENT DATA
28 Roslindale, Michigan INSUFFICIENT DATA
29 Dayton, Ohio UNIDENTIFIED
29 Marshall, Texas UNIDENTIFIED
