This image appears to be a map of the San Diego suburban area. There is no photograph present in this particular page of the document. I will now proceed to act as an OCR system and produce the text found in the document.

SAN DIEGO SUBURBAN AREA
Acacia Park
Adair Ave
Akins Ave
Alvarado Canyon Rd
Arnold Ave
Ash St
Aspin Dr
Atascadero Dr
Ave Floride 
Ave Solana
Ave Verda
Balboa Ave
Bancroft St
Barr Ave
Bay View Ave
Bayberry Ln
Belfair St
Bellevue Ave
Belmont Ave
Benecia St
Bennett Ave
Beverly St
Bonita St
Bonnieview Ave
Boone St
Boundary St
Bristol St
Bucky St
Calif St
Callender Ave
Carlson Blvd
Carolina Ln
Celia Ave
Chamoune Ave
Cherokee Ave
Cherry St
Chester St
Chestnut
Cobb Ave
Colonial Ave
Conduit Rd
Conejos St
Coral Way
Coronado Blvd
Dewey St
Diamond St
Doggett St
Dorcas St
East St
Edna Place 
Edna Way
El Cajon Blvd
El Cerrito Dr
Eliza St
Ellison PI
Elm St
Estrella St
Euclid Ave
Evergreen Ave
Fairfield St
Federal Blvd
Felton St
Fern St
Festival Blvd
Festival Ct
Festival Way
Fillmore St
Flicker St
Fuchsia St
Glen Ct
Grape St
Gravilla St
Green Ln
Greenbrier Ave
Grim Ave
Guilford Dr
Hains Ave
Haines St
Hawthorn St
Hazelwood St
Heather St
Hegins St
Herbert St
Hickory St
Highland Ave
Highland Pl
Hillcrest Dr
Hornblend St
Howard Ave 
Humphrey Ave
Imlay Ave
Imperial Ave
Inez St
Ivy St
J St
Jefferson St
Jetty St
Kalmia St
Kenyon St
Kensington Dr
Kensington Way
Kettner Blvd
Kilbourn St
Killdeer St
Kline St
La Playa Ave
La Salle St
Laurel St
Lauretta St
Lemon Grove Ave
Lemon St
Leyden St
Lida St
Lincoln Ave
Linwood St
Logan Ave
Loma Portal Rd
Long Branch Ave
Louisiana St
Louise St
Lucerne Ave
Luna Pl
Macaulay St
Magnolia Ave
Magnolia St
Malta Way
Manteca St
Maple St
Marcey St
Marine View Ave
Marshall Ave
Martin Ave
Maryland St
Mariposa Pl
Mattoon St
Maxfield St
Mc Kinley Elementary
Mechanic St
Mediterranean Ln
Melon Ave
Meridian Ave
Messina St
Miramar Ave
Mira Monte Pl
Mira Monte St
Mission Beach
Mission Blvd
Mississippi St
Missouri St
Monroe Ave
Montclair St
Monterey Ave
Montgomery St
Morrell St
Morris St
N 8th St
N Bancroft St
N Highland Ave
N Kiel St
N Marine View
N Santa Fe Ave
N Shore PI
Navy St
Nevada St
Newton Ave
Noell St
Nolan St
Norman St
North Island
North Island Fld
Norton St
Ocean Front
Ocean Ln
Oliphant St
Olney St
Oneida Pl
Orange Ave
Orange St
Oregon St
Orchard St
Palms Way 
Panama St
Park Blvd
Park St
Parker Pl
Parker Place
Parnell St
Peck Pl
Peck Place
Pennsylvania Ave
Pennsylvania St
Pier
Plaza Dr
Plum St
Point Loma Ave
Point Loma Blvd
Polaris Way
Poplar St
Prospect St
Quebec St
Ralston St
Ramona St
Raymond St
Redwood St
Rialto St
Riviera Dr
Rosecrans St
Rowena Ave
Russ Blvd
S Highland Ave
S Kiel St
S Marine View
S Santa Fe Ave
S Shore PI
Saipan Dr
Saratoga Ave
Sassafras St
Schuyler St
Seacoast Dr
Seaward Ave
Senter St
Sheridan Ave
Sherman St
Shoup St
Sierra Ave
Silvergate Ave
Smythe Ave
South Island
South Lindbergh Fld
Southlook Ave
Spindrift Dr
Spruce St
St Charles Pl
St James PI
Superior St
Sutherland St
Sutter St
Sutton St
Talbot St
Temecula St
Terrace Dr
The Grove St
Tide St
Tioga Pl
Tonio Way
Torrance St
Tower St
Tourmaline St
Turquoise St
University Ave
Upas St
Vancouver Ave
Voltaire St
Walnut St
Watkins Ave
Webster Ave
Webster St
West Point Loma Bl
West Pt Loma Blvd
Willow St
Wilson Ave
Wilson St
Wing St
Wright St
Wylie St
Yosemite St
Zanzibar Rd
