The image does not contain any photographs, only text. The text appears to be an index or list of locations and dates related to UFO sightings under Project Blue Book.

223-33 SIGHTINGS 
30 - 13

FOLDER #1

NUMBER  DATE     LOCATION
                  Dover AFB, Delaware
V-2      28       Richmond, Virginia
V-3      28       Colorado Springs, Colorado 
V-4      27       Shreveport, Louisiana
V-5      27       Pasadena, California
V-6      27       Dayton, Ohio
V-7      27       Tsukuba AB, Japan
V-8      27       Northern Konahu
V-9      27       Glasgow AFB, Montana 
V-10     26       Dover AFB, Delaware
V-11     26       Klamath Falls, Oregon
V-12     26       Greenland
V-13     26       Honamu, Japan
V-14     26       Northern Kiyusha
V-15     26       Peppereil AFB, Newfoundland
V-16     26       Kingsville, Texas
V-17     25       Kingsville, Maryland
V-18     25       Charleston, West Virginia
V-19     25       Great Falls, Montana
V-20     24       Twin Falls, Idaho
V-21     24       Dayton, Ohio
V-22     24       Sherman, Texas
