There is no photograph present in this image. It appears to be a page from a Project Blue Book document containing a list of locations and dates.

JULY 1953 SIGHTINGS

Folder #1
1 29 - Springfield, Ohio
2 23 Minneapolis, Minnesota 
3 26 - Las Vegas, Nevada
4 26 - Dayton, Ohio
5 26 - Tinker A.F.B, Oklahoma
6 25 - Dayton, Ohio
7 25 - Charleston, Oregon
8 25 - Central House, Alaska
9 25 - Washington, D.C.
10 24 - Key West, Florida
11 22 - Atlantic City, New Jersey
12 20 - Omaha A.F.B, Nebraska
13 19 - Colorado Springs, Colorado
14 19 - La Grande, Oregon
15 18 - Brooklyn, New York
16 18 - Sheridan, Wyoming
17 18 - Key West, Florida
