There is no photograph present in this image. This appears to be a page from an old Project Blue Book document containing meteorological observation data in the form of a table.

STATION - CHICO
DATE - 2-21-53
REMARKS AND SUPPLIES -

Type   Wind   Wind
      Dir   Spd  
- -    - -    - -
A 235   10
A 238   12   
A 241   10
A 244   10
A 247   12
A 250   10
A 253   15
A 256   12
A 259   12
A 302   12
A 305   10
A 308   10
A 311   12
A 314   14
A 317   14
A 320   12
A 323   12
A 326   16
A 329   14
A 332   10
A 335   10
A 338   10
A 341   10
A 344   14
A 347   12
A 350   10
A 353   8
A 356   8
A 359   6
R 223   2
R 226   2
R 229   2
R 232   2
R 235   2
R 238   2
R 241   4
R 244   6
R 247   6
R 250   6
