There is no photograph present in this image. The image appears to be a Project 10073 record card, which contains various fields filled out with information about a UFO sighting.

Text in the document:

1. DATE  3 December 1954
2. LOCATION  Gulfport, Mississippi 
3. DATE-TIME GROUP  Local  
4. TYPE OF OBSERVATION  D Ground-Radar
5. PHOTOS  0 Yes
6. SOURCE  Civilian
7. LENGTH OF OBSERVATION  30 Seconds  
8. NUMBER OF OBJECTS  1
9. COURSE  S
10. BRIEF SUMMARY OF SIGHTING  Bright sround light observed at about 200 - 600 ft. Gray, hovered, then disappeared.
11. COMMENTS  --
12. CONCLUSIONS  [No conclusions listed]
