There does not appear to be a photograph present in this image. The image shows a typed page from a Project Blue Book report, containing text describing various observations and information about a UFO report.

A. MILITARY
UNKNOWN
2. WEATHER AND WINDS ALOFT AT TIME AND PLACE OF SIGHTING:
A. CHARLESTON SOUTH CAROLINA CLEAR VISIBILITY 10 MILES
B. SURFACE
DEGREES/28 KNOTS 9
C. 3.000 FEET
DEGREES/28 KNOTS 9
D. 6.000 FEET
DEGREES/275 KNOTS 43
E. 9.000 FEET
DEGREES/275 KNOTS 53
F. 12.000 FEET
DEGREES/275 KNOTS 54
G. 18.000 FEET
DEGREES/275 KNOTS 59
