The image appears to contain a table with information about various UFO sightings. There is no photograph present in this particular page of the document.

1 - 15 MAY 1955 SIGHTINGS
PAGE  LOCATION   OBSERVER   EVALUATION
1.   Miami, Florida 
2.   New York City, New York (CASE MISSING) Civilian
3.   Keflavic Airport, Iceland Military
4.   St.Iouis, Missouri (DAYTON OHIO) Civilian
5.   Glenurquil, Maryland Civilian 
6.   139 Prime, California
7.   Klamath Falls, Oregon
8.   Ukiah, California Miscellaneous
9.   Merryville, Connecticut Military
10.  Yonkers, New York Civil Airlines
11.  Muncy, New York Military
12.  Tinker APB, Oklahoma Military
13.  Cedar Island, Maine Civilian
14.  Grand Forks, North Dakota Civilian
15.  Duluth, Minnesota Civilian
16.  Old Town, Maine
17.  Hollister, California
18.  Parco, North Dakota
19.  Syracuse, New York
20.  Little Falls, New Jersey
21.  New York City, New York (PHOTO)
