There is no photograph present in this image. The image appears to be a page from a Project Blue Book document containing a tabular data report.

Performing OCR (Optical Character Recognition) on the text in the document:

CASE RECORD

CATEGORY	LOCATION	DATE	TIME	DURATION	SHAPE	COLOR	SIZE	NO. OBJECTS	DISTANCE	DIRECTION	SPEED	ALTITUDE	TRAJECTORY	COURSE	WITNESSES	INITIAL IMPRESSION	FINAL EVALUATION
1. Instrument	Denver, Colo.	3-3-52	2324	3-4 min	Circular	White, Red, Green	Approx. 25 ft	1	10 mi	NW-SE	1500 mph	10,000 ft	Desc. slightly	Straight	3	Unknown aerial object	Unidentified
2. Aircraft	Ft. Monmouth, N.J.	3-12-52	1905	1 min	Circular	Red, Green, White	50-100 ft	1	3 mi	NNW-SE	600-800 mph	500 ft	Level	Straight	2	Unknown aerial object	Unidentified
3. Ground-Visual	White Sands, N.M.	4-24-52	2330	20-30 sec	Circular	Orange, White	50-75 ft	1	1 mi	East	400 mph	500 ft	Descended	Straight	2	Unknown aerial object	Unidentified
4. Aircraft	Tucson, Ariz.	5-3-52	2100	45 sec	Circular	Red, White, Green	60-80 ft	1	3 mi	North	700 mph	2,000 ft	Level	Straight	2	Unknown aerial object	Unidentified
5. Ground-Visual	Las Vegas, Nev.	6-13-52	2000	1 min	Circular	White, Red, Green	50-60 ft	2	5 mi	North	1,000 mph	1,500 ft	Slightly descending	Straight	3	Unknown aerial object	Unidentified
6. Military-Visual	Ft. Monmouth, N.J.	7-13-52	2220	2-3 min	Circular	Red, White, Green	50-75 ft	1	6-8 mi	East	400-500 mph	5,000 ft	Slightly descending	Straight	4	Unknown aerial object	Unidentified
7. Ground-Visual	Dayton, Ohio	8-1-52	2130	2 min	Circular	White, Red, Green	50-75 ft	1	3 mi	North	500 mph	2,500 ft	Slightly descending	Straight	2	Unknown aerial object	Unidentified
8. Instrument	Ft. Knox, Ky.	9-12-52	0830	15-20 sec	Circular	White	30 ft	1	2 mi	NNE-SW	600 mph	2,500 ft	Slightly descending	Straight	2	Unknown aerial object	Unidentified
9. Ground-Visual	Norton AFB, Calif.	10-1-52	1430	10-15 sec	Circular	White, Yellow	40-50 ft	1	5 mi	N-S	600 mph	5,000 ft	Slightly descending	Straight	3	Unknown aerial object	Unidentified
10. Ground-Visual	Albuquerque, N.M.	10-13-52	1530	2-3 min	Circular	White, Red, Green	50-75 ft	1	3 mi	NW-SE	600 mph	1,500 ft	Slightly descending	Straight	2	Unknown aerial object	Unidentified
