The image does not contain any photographs. It appears to be a page from a document or report containing tabular data.

Table 1. Encounter & Date
Sighting
Magnitude
Condition
Temperature
Cloud Cover
Wind
Precipitation
Number of Objects
Color
Direction of Travel
Speed
Duration
Shape
Remarks
Location

Examination
Catalog No.
1. Gallatin, Tenn.
2. Longview, Texas
3. Ontario, Calif.
4. Deland, Fla.
5. Salina, Kans.
6. Salina, Kans.
7. San Angelo, Texas 
8. Maywood, Ill.
9. San Francisco, Calif.
10. Dearborn, Mich.
11. Corpus Christi, Texas
12. Hempstead, N.Y.
13. Denver, Colo.
14. Denver, Colo.
15. Los Angeles, Calif.
16. Rapid City, S.D.
17. Salina, Kans.
18. Lakeland, Fla.
19. Long Beach, Calif.
20. Long Beach, Calif.
Total
