This image does not contain any photographs. It appears to be a page from a Project Blue Book document with a list of locations and details related to UFO sightings.

PROJECT BLUE BOOK 1950'S SCANNED DOCUMENT:

July 1952
Paris, Illinois
Dayton, Ohio
Dayton, Ohio
Great Falls, Montana
Daywson, Ohio
Dayton, Ohio

August 1955
Middlebury, Vermont
Cincinnati, Ohio
Dayton, Ohio
Napa, New Mexico
Pueblo, Colorado
Grand Rapids, Michigan
Daytona, Ohio
Spaulding, Illinois
Middletown, Ohio
Greenville, Alabama
