The image does not contain any visible photographs. It appears to be a page from a UFO report document, specifically an index card from Project Blue Book.

UFOB INDEX CARD                       ATIS-UFO-3-106-56

1. DATE                                13 Oct 56
2. LOCATION                                Newburgh, New York
3. DATE-TIME GROUP                   13/22C Oct 56
4. TYPE OF OBSERVATION             Ground-Radar
5. SOURCE                                Civilian
6. NUMBER OF OBJECTS                One
7. LENGTH OF OBSERVATION      Still in sight
9. COURSE                                Up and down
10. BRIEF SUMMARY OF SIGHTING       One circular white (with red light) object, the size of the head of a pin at arm's length. Object was moving up and down and was still in sight at time of report.
11. COMMENTS                                According to Reporting Officer there have been a considerable number of similar sightings in the area. Opinion of this sighting was probably caused by a balloon.
