The image appears to contain a table or chart displaying meteorological data, such as surface weather information. There is no photograph present in this image.

Surface weather
155 53 
165 53 
176 53 52
183 54 51
194 55 50
198 55 49
207 55 48
217 55 47
224 56 46
231 56 44
237 56 43
243 56 41
249 57 40
253 57 38
257 57 37
262 57 36
267 57 34
271 58 33
275 58 32
280 58 30
285 58 29
290 59 28
296 59 27
301 59 25
307 59 24
311 59 23
315 60 21
321 60 20
328 60 18
336 60 17
342 60 15
348 60 14
353 60 12
359 60 11
365 60 10
371 60 8
377 59 7
383 59 6
390 59 4
397 59 3
403 58 2
409 58 1
415 58 0
