The image appears to be a page from an old UFO report document from Project Blue Book. It contains handwritten text and numerical data, but there is no photograph present in this particular image.

OCR output:
11-6779945-Albuquerque-NewMexico 
* 105 15 200)
1800 1220
1220 175 
1260 1150 
1300 1100
1340 1015
1420 835
1460 760
1500 675
1540 570
1580 465
1620 370
1660 275
1700 190
1740 115
1780 50
1820 0
1860 -40
1900 -80
1940 -100
1980 -100
2020 -90
2060 -65
2100 -25
2140 15
2180 45
2220 70
2260 85
2300 90
2340 90
2380 80
2420 60
2460 30
2500 0
2540 -25
2580 -40
2620 -45
2660 -45
2700 -35
2740 -15
2780 10
2820 30
2860 45
2900 50
2940 45
2980 35
3020 20
3060 0
3100 -15
3140 -25
3180 -25
3220 -20
3260 -10
3300 0
3340 10
3380 20
3420 25
3460 25 
3500 20
3540 15
3580 5
3620 -5
3660 -10
3700 -10
3740 -5
3780 0
3820 5
3860 10
3900 10 
3940 5
3980 0
4020 -5
4060 -10
4100 -10
4140 -5
4180 0
4220 5
4260 10
4300 10 
4340 5
4380 0 
4420 -5
4460 -10
4500 -10
4540 -5
4580 0
4620 5
4660 10
4700 10
4740 5
4780 0
