The image does not contain any photograph. It appears to be a document page with text listing various UFO sightings and related information.

25 - 30 NOVEMBER 1957 SIGHTINGS
DATE	LOCATION	OBSERVER	EVALUATION
23	Griffis Island, Canada		INSUFFICIENT DATA
25	Los Angeles, California		BALL OF FIRE (VENUS)
25	Santa Rosa, Texas (CASE MISSING)	Civilian	OTHER (SATELLITE?)
25	Globe, Arizona	Air Vis/Ground RADAR	ASTRO (METEOR)
25	Miami AFB, Florida		OTHER (SATELLITE?)
25	Gila River, Arizona		ASTRO (STARS/PLANETS)
26	Cicirelli, Wisconsin	Military Air	Other (RADAR REFLECTION)
27	Joliet, Illinois		INSUFFICIENT DATA
27	Washington, New Mexico		INSUFFICIENT DATA
27	U23R, Japan, Sea of Okhotsk	Military	UNIDENTIFIED
28	Skull, South Dakota		INSUFFICIENT DATA
28	Covington, Kentucky (CASE MISSING)	Civilian	INSUFFICIENT DATA
28	Memphis/Trenton Area		INSUFFICIENT DATA
28	Miamisburg, Ohio	Military	INSUFFICIENT DATA
29	Robbtsville, Indiana		ASTRO (METEOR)
30	Albuquerque, New Mexico		INSUFFICIENT DATA
30	Chattanooga, Tennessee (CASE MISSING)	Civilian	INSUFFICIENT DATA
30	Nacogdoches, Texas	Military Air (RADAR)	Other (RADAR INDICATIONS)
30	Las Vegas, Nevada		ASTRO (METEOR)
30	Meadville, Pennsylvania (SEEN ON TV) Civilian	PHYSICAL SKY
30	Santa Anna, Texas		OTHER (HOAX)
30	Russellville, Kentucky (CASE MISSING)	Civilian	INSUFFICIENT DATA
30	Brooksville, Ohio (CASE MISSING)	Civilian	INSUFFICIENT DATA
30	Rosemite Junction, Ohio (CASE MISSING)	Civilian	INSUFFICIENT DATA
SE LES SEPARE FOLDER
