The image does not contain any photographs. It appears to be a page from an old Project Blue Book document with a table of information.

Location	Observer	Sighting	Evaluation
Unumwa, Illinois	94-42 per Illinois	Unumwa, Illinois	Insufficient Data
Scott AFB, Centralia, Illinois	Military	Military	Military
Hillsboro, Illinois	Military	Military	Military
Tachikawo, Yokota, Japan	Military	Military	Military
Yosemite, Kentucky	Civilian	Civilian	Civilian
N C: New Orleans, Louisiana	Civilian	Civilian	Civilian
Houston, Texas	Civilian	Civilian	Civilian
Old Westbury, Long Island, New York	Civilian	Civilian	Civilian
Le Compte, Warren, Louisiana	Civilian	Civilian	Civilian
Ruxhville, Illinois	Civilian	Civilian	Civilian
Monroe, Kansas	Military	Military	Military
Cachikawo, Yokata, Japan	Military	Military	Military
University City, Missouri	Civilian	Civilian	Civilian
Dayton, Ohio	Civilian	Civilian	Civilian
Los Angeles, California	Civilian	Civilian	Civilian
Arthur Springs, Michigan	Civilian	Civilian	Civilian
Irvine Air Force Base, Japan	Military	Military	Military
Tokyo, Japan	Military	Military	Military
Eglin AFB, Fl.	Military	Military	Military
Egbon Air Force Base, Louisiana	Military	Military	Military
Tagne, Florida	Military	Military	Military
C' Falls, Missouri	Civilian	Civilian	Civilian
