The image shared does not appear to contain any photographs. It shows a Project 10073 Record Card document from the Project Blue Book files.

PROJECT 10073 RECORD CARD
1. DATE 	10 APR 58
2. LOCATION	OVER BIRMINGHAM, ALA.
3. DATE/TIME GROUP	Local - 0925 CST
4. TYPE OF OBSERVATION	G Ground-Visua1
5. PHOTOS	- Yes
6. LENGTH OF OBSERVATION	1 MIN
7. NUMBER OF OBJECTS	1
8. SOURCE	HILLARY
9. COURSE	40 Degree Angle
10. BRIEF SUMMARY OF SIGHTING	A silver streak (in shape) seemed to be dropping off or a disappearance act of the flying obj which was moving at an extremely high rate of speed.
11. COMMENTS	Believed to be an A/C dropping/jettisoning bombs or fuel tanks.
