The image does not contain any photograph. It appears to be a page from a Project Blue Book UFO report document, specifically the record card for an incident that occurred on September 19, 1958 at Montgomery Field in San Diego.

PROJECT 10073 RECORD CARD
1. DATE	19 September 1958
2. DATE-TIME GROUP	LOcal: 2220 Z 
3. PHOTOS	Yes
4. SOURCE	Civilian 
5. LENGTH OF OBSERVATION	10-20 seconds
6. BRIEF SUMMARY OF SIGHTING	Two circular discs, size of basket-ball, silvery metallic, one above the other shifting from side to side.
7. LOCATION	Montgomery Fld, San Diego
8. TYPE	Ground-Visual
9. COURSE	NE.
10. NUMBER OF OBJECTS	TWO
11. COMMENTS	The observer probably saw two objects.
12. CONCLUSIONS	0 Balloon
X Possibly Balloon
