The image does not contain any visible photographs or images. It appears to be a scanned page of a document titled "AIR INTELLIGENCE INFORMATION REPORT" dated FEB 25 1959.

AIR INTELLIGENCE INFORMATION REPORT
DATE OF ACTIVITY               FEB 25 1959
DATE OF COLLECTION            3 MAR 1959
REPORT TITLE                  USE INDIVIDUAL REPORTS FOR SENSITIVE SUBJECTS
SOURCE                        FTD
EVALUATION                    TTT
REFERENCES                    (MAKE SUBJECT: PREVIOUS REPORTS, ETC. AS APPLICABLE)
SUBJECT                       UNIDENTIFIED AERIAL PHENOMENA
SUMMARY                       (GIVE A BRIEF GENERAL SUMMARY OF THE CONTENTS OF THE REPORT)
DISTRIBUTION OF ORIGINATOR    (SHOW LEAD AND FILE COPIES AS INDICATED)

The text appearing on the scanned document has been fully transcribed.
