The image does not contain any photograph. It appears to be a page from a Project Blue Book document that contains a table with various information and text.

TEXT EXTRACTED FROM THE DOCUMENT:

DATE 3-2-58 
PAGE NO.------- 3 
UNIDENTIFIED  
LOCATION Duluth, Minn.  
SIGHTED BY    3:07 
DESCRIPTION
WITNESSES   1 
DURATION     30 seconds  
SHAPE        ROUND  
SIZE         30-40 ft.  
COLOR        BLACK  
ALTITUDE     LEVEL  
SPEED        FAST  
DIRECTION    N  
PHOTO        YES  
REMARKS      SECURITY CLASSIFIED
