The image does not contain a photograph. It appears to be a page from a Project Blue Book UFO report document, consisting of textual information about celestial events and observations.

Celestial Time Table for June
June EST
4 3:30 a.m.	Mean altitude 105,200 miles
5 6:33 a.m.	Mean distance 235,550 miles
6 9:26 p.m.	Venus in conjunction with Mars
14 11:24 a.m.	Moon passes Mars
18 9:22 p.m.	Venus in first quarter
19 8:00 a.m.	Moon nearest, distance 223,300 miles
20 9:30 p.m.	Full Moon
21 1:21 p.m.	Moon passes Saturn
23 8:57 p.m.	Sun farthest north, beginning of summer
25 9:49 p.m.	Saturn nearest, distance 819 million miles
26 11:00 p.m.	Saturn near, two hours for MST, and three for EST
