There is no photograph present in this page from the Project Blue Book UFO report document.

TEXT FOUND IN THE DOCUMENT:

1. DATE	13 AUG 52
2. LOCATION	Upper Greenwood Lake, New Jersey 
3. DATE-TIME GROUP	Local 1310/PST
4. TYPE OF OBSERVATION	Visual
5. DURATION	25-30 secs.
6. SOURCE	Private Citizen
7. LENGTH OF OBSERVATION	25-30 secs.
8. NUMBER OF OBJECTS	1
9. COURSE	Eastward
10. BRIEF SUMMARY OF SIGHTING	This case appears to be a balloon sighting. The object seen was shiny, metallic and spherical in shape, drifting eastward. It was observed by a private citizen and no additional information was provided by the witness. No additional data was available to 10 the sighting. This case should be listed as a possible balloon observation.
11. COMMENTS	No additional info provided, only witness' statement. This appears to be a moving object in the sky, possibly a balloon. No further conclusions can be drawn from the information given. No additional information could be obtained to further identify the sighting.
12. CONCLUSIONS	Was possibly Balloon

ATIC FORM 329 (REV 26 SEP 55)
