The image does not contain any photographs. It appears to be a tabular data sheet or report from Project Blue Book, likely containing sightings or records of UFO-related incidents.

1830 19 AUG 62 
1820 19 AUG 62 229
1820 18 AUG 62 229
1820 26 AUG 62 239 
1830 19 FEB 62 235
1720 3 DEC 62 239 
3722 22 FEB 62 270
2349 20 FEB 68 229
1546 12 FEB 67 159
1525 13 FED 62 167
2310 13 FEB 62 183
1930 14 FEB 62 183
2020 14 FEB 62 183
2230 5 SEP 61 29
1930 6 SEP 61 24
1950 11 APR 61 70
1910 14 APR 61 79
1920 9 APR 61 72
1915 12 MAR 61 975
1930 13 APR 61 279
1930 29 APR 61 272
2130 5 AUG 61 170
2145 4 AUG 61 162
2210 2 MAY 61 259
2010 2 MAY 61 252
2220 3 MAT 61 260
2050 5 MAY 61 245
2130 4 SEP 61 212
1210 6 MAY 61 360
2110 6 MAY 61 345
