The image does not contain any photographs, only a table with various numerical data.

STAT - STARTED          ALT -              LAST CLIMB            AZIMUTH         VELOCITY
2230, 9 May 1961         250              2305                 215            35
2205, 9 May 1961         250              2215                 35             26.10
2010, 12 May 1961        255              2020                 35             27.70
2257, 22 May 1961        249              2220                 35             26.1
1235, 13 May 1961        243              1945                 20             25.40
2135, 16 May 1961        255              2015                 15             25.00
1905, 14 May 1961        250              1215                 25             22.00
2100, 14 May 1961        270              2215                 24             22.00
2070, 15 May 1961        235              2045                 40             21.00
2230, 15 May 1961        290              2184                 60             22.00
1240, 16 May 1961        275              2000                 28             23.00
1516, 16 May 1961        290              2207                 45             24.00
1900, 17 May 1961        300              1525                 25             25.00
2100, 17 May 1961        315              2150                 55             23.00
2025, 18 May 1961        350              2050                 35             23.00
2223, 19 May 1961        375              2250                 45             24.00
2500, 19 May 1961        395              2000                 29             23.00
2250, 19 May 1961        305              2200                 39             23.00
0525, 20 May 1961        45               6000                 25             ? Fade Radar CR
1925, 20 May 1961        350 , Fade radar to pass - climb ?    
2135, 20 May 1961        270              2130                 43             25.00
3352, 21 May 1961        295              2100                 35             25.00
3516, 22 May 1961        374              1845                 125            23.00
4550, 22 May 1961        355              1645                 125            22.00
0028, 23 May 1961        322              2030                 9              22.00
2212, 23 May 1961        379              2439                 75             22.00
1958, 23 May 1961        373              1940                 20             Zoom
