The image does not contain any photographs. It appears to be a page from a Project Blue Book record card, which is a document used to record details about a UFO sighting.

PROJECT 10073 RECORD CARD
1. DATE	7 AUG 61
2. DATE-TIME GROUP	2305 (1)
3. LOCATION	Dayton, Ohio
4. TYPE OF OBSERVATION	Ground-Visual
5. DURATION	10 min
6. NUMBER OF OBJECTS	1
7. LENGTH OF OBSERVATION	10 min
8. NUMBER OF WITNESSES	1
9. COURSE	NG

10. BRIEF SUMMARY OF SIGHTING	Civilian observed a bright object moving in the sky on a clear night. The object was brighter than a star and pulsated. It was observed for 10 min.

11. COMMENTS	Analysis: Called 1 or 2 witnesses and she said that time of sighting was 2305 (1). That the object was sighted close to horizon. Its magnitude was 1, possibly 1+. It pulsated and was brighter than a star. Its angular size was only plus 1-2', but being close to horizon, must have been larger.
