There is no photograph present in the image provided. The image appears to be a scanned page from a document containing text in a tabular format, likely related to a UFO report from Project Blue Book.

1 11,35 13 JUNE 25 NORTH OF CITY 73 VARIABLE ARMY
1 1,13 JUNE 27 NORTH OF CITY 11 VARIABLE ARMY
1 0,25 JUNE 30 SOUTH OF CITY 29 ERRATIC ARMY
1 1,30 18 JUNE 30 SOUTH OF CITY 75 ERRATIC ARMY
4 1,50 25 JUNE 30 NORTH OF CITY 62 VARIABLE ARMY
1 1,20 JULY 3 WEST OF CITY 75 ERRATIC ARMY
1 1,5 JULY 17 WEST OF CITY 73 ERRATIC ARMY
1 1,10 JULY 27 WEST OF CITY 63 VARIABLE ARMY
1 1,13 JUNE 27 NORTH OF CITY 11 VARIABLE ARMY
1 1,30 18 JUNE 30 SOUTH OF CITY 75 ERRATIC ARMY
