There is no photograph present in this image. The image appears to be a page from a document containing handwritten text and numerical data in a tabular format.

Performing OCR (Optical Character Recognition) on the text in the image:

DATE   TIME  TYPE  DURATION  DIRECTION  SIZE  DETAILS
36-4 /3958/ 58 26 
138 of 62 1329 ½-1 2 SE 0.7"-1.5"
133 of 62 1307 3-5 2 S 1"
132 of 62 1306 2-5 2 S 1"  
131 of 62 1245 3-5 2 SE 1"
130 of 62 1238 2-5 2 SE 1" 
129 of 62 1229 2-5 2 SE 1"
128 of 62 1219 3-5 2 SE 1"
127 of 62 1215 3-5 2 SE 1"
126 of 62 1206 3-5 2 SE 1" 
125 of 62 1203 2-5 2 SE 1"
124 of 62 1156 3-5 2 SE 1"
123 of 62 1151 2-5 2 SE 1"
122 of 62 1145 3-5 2 SE 1" 
121 of 62 1140 3-5 2 SE 1"
120 of 62 1134 2-5 2 SE 1"
119 of 62 1125 3-5 2 SE 1"
118 of 62 1120 3-5 2 SE 1"
117 of 62 1106 3-5 2 SE 1"
116 of 62 1101 3-5 2 SE 1"
115 of 62 1057 3-5 2 SE 1"
114 of 62 1054 2-5 2 SE 1"
113 of 62 1046 3-5 2 SE 1"
112 of 62 1041 3-5 2 SE 1"
111 of 62 1037 3-5 2 SE 1"
110 of 62 1026 2-5 2 SE 1"
109 of 62 1020 3-5 2 SE 1"
108 of 62 1014 3-5 2 SE 1"
107 of 62 1008 2-5 2 SE 1"
106 of 62 1001 3-5 2 SE 1" 
105 of 62 0956 3-5 2 SE 1"
104 of 62 0951 2-5 2 SE 1"
103 of 62 0944 3-5 2 SE 1"
102 of 62 0938 3-5 2 SE 1"
101 of 62 0932 2-5 2 SE 1"
100 of 62 0928 3-5 2 SE 1"
