The image does not contain any photographs. It appears to be a page from an old UFO report document, likely from Project Blue Book, that includes a table with various communications-related information and a map or diagram in the background.

As requested, I will now act as an OCR system and produce all the text found in the document:

NORTH ATLANTIC 
STATION ATL 1630 
DATA TRANSMISSION RECORD
8/9 SEPT 62 SAT SUN
TIME/GMT OUTER CIRCLE INNER CIRCLE
0213 159/20 34/20
0217 159/20 34/20
0221 159/20 34/20
0225 159/20 34/20
0229 159/20 34/20
0233 159/20 34/20
0237 159/20 34/20
0241 159/20 34/20
0245 159/20 34/20
0249 159/20 34/20
0253 159/20 34/20
0257 159/20 34/20
0301 159/20 34/20
0305 159/20 34/20
0309 159/20 34/20
0313 159/20 34/20
0317 159/20 34/20
0321 159/20 34/20
0325 159/20 34/20
0329 159/20 34/20
0333 159/20 34/20
0337 159/20 34/20
0341 159/20 34/20
0345 159/20 34/20
0349 159/20 34/20
0353 159/20 34/20
0357 159/20 34/20
0401 159/20 34/20
0405 159/20 34/20
0409 159/20 34/20
0413 159/20 34/20
0417 159/20 34/20
0421 159/20 34/20
0425 159/20 34/20
0429 159/20 34/20
0433 159/20 34/20
0437 159/20 34/20
0441 159/20 34/20
0445 159/20 34/20
0449 159/20 34/20
0453 159/20 34/20
0457 159/20 34/20
0501 159/20 34/20
0505 159/20 34/20
0509 159/20 34/20
0513 159/20 34/20
0517 159/20 34/20
0521 159/20 34/20
0525 159/20 34/20
0529 159/20 34/20
0533 159/20 34/20
0537 159/20 34/20
0541 159/20 34/20
0545 159/20 34/20
0549 159/20 34/20
0553 159/20 34/20
