There does not appear to be any photograph present in this image. The image seems to contain a document with text that appears to be coordinates or location data. I will now proceed to transcribe the text found in the document:

DAYTON, OHIO
AT 08.51 P MARC.21 SOUTH OF CITY, 65 DEGREES ABOVE HORIZON MOVING
AT 09.15 P MARC.21 SOUTH OF CITY, 75 DEGREES ABOVE HORIZON MOVING
AT 09.25 A MARC.22 SOUTH OF CITY, 73 DEGREES ABOVE HORIZON MOVING
AT 05.32 A MARC.22 SOUTH OF CITY, 06 DEGREES ABOVE HORIZON MOVING
AT 08.17 P MARC.22 SOUTH OF CITY, 46 DEGREES ABOVE HORIZON MOVING
AT 04.23 A MARC.23 SOUTH OF CITY, 24 DEGREES ABOVE HORIZON MOVING
AT 07.18 P MARC.23 SOUTH OF CITY, 26 DEGREES ABOVE HORIZON MOVING
AT 09.24 P MARC.23 NORTH OF CITY, 81 DEGREES ABOVE HORIZON MOVING
AT 08.26 P MARC.24 NORTH OF CITY, 76 DEGREES ABOVE HORIZON MOVING
AT 10.30 P MARC.24 NORTH OF CITY, 57 DEGREES ABOVE HORIZON MOVING
AT 04.63 A MARC.25 SOUTH OF CITY, 07 DEGREES ABOVE HORIZON MOVING
1 DENVER, COLO.
MST
AT 07.56 P MARC.18 SOUTH OF CITY, 23 DEGREES ABOVE HORIZON MOVING
AT 04.12 A MARC.19 SOUTH OF CITY, 56 DEGREES ABOVE HORIZON MOVING
AT 06.57 P MARC.19 SOUTH OF CITY, 07 DEGREES ABOVE HORIZON MOVING
AT 03.14 A MARC.20 SOUTH OF CITY, 17 DEGREES ABOVE HORIZON MOVING
AT 05.21 A MARC.20 SOUTH OF CITY, 16 DEGREES ABOVE HORIZON MOVING
AT 08.06 P MARC.20 SOUTH OF CITY, 45 DEGREES ABOVE HORIZON MOVING
AT 04.22 A MARC.21 SOUTH OF CITY, 27 DEGREES ABOVE HORIZON MOVING
AT 07.47 P MARC.21 SOUTH OF CITY, 23 DEGREES ABOVE HORIZON MOVING
AT 09.13 P MARC.21 NORTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING
AT 03.23 P MARC.22 SOUTH OF CITY, 50 DEGREES ABOVE HORIZON MOVING
AT 08.16 P MARC.22 SOUTH OF CITY, 72 DEGREES ABOVE HORIZON MOVING
AT 04.32 P MARC.23 SOUTH OF CITY, 05 DEGREES ABOVE HORIZON MOVING
AT 07.17 P MARC.23 SOUTH OF CITY, 45 DEGREES ABOVE HORIZON MOVING
AT 09.22 P MARC.23 NORTH OF CITY, 69 DEGREES ABOVE HORIZON MOVING
AT 03.33 P MARC.24 SOUTH OF CITY, 26 DEGREES ABOVE HORIZON MOVING
AT 08.24 P MARC.24 NORTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING
1 EVANSVILLE, IND.
CST
AT 06.55 P MARC.18 SOUTH OF CITY, 04 DEGREES ABOVE HORIZON MOVING
AT 03.13 A MARC.19 NORTH OF CITY, 87 DEGREES ABOVE HORIZON MOVING
AT 05.20 A MARC.19 SOUTH OF CITY, 15 DEGREES ABOVE HORIZON MOVING
AT 08.05 P MARC.19 SOUTH OF CITY, 45 DEGREES ABOVE HORIZON MOVING
AT 04.20 A MARC.20 SOUTH OF CITY, 35 DEGREES ABOVE HORIZON MOVING
AT 07.66 P MARC.20 SOUTH OF CITY, 22 DEGREES ABOVE HORIZON MOVING
AT 03.22 A MARC.21 SOUTH OF CITY, 63 DEGREES ABOVE HORIZON MOVING
AT 08.14 P MARC.21 SOUTH OF CITY, 74 DEGREES ABOVE HORIZON MOVING
AT 04.31 A MARC.22 SOUTH OF CITY, 15 DEGREES ABOVE HORIZON MOVING
AT 07.16 P MARC.22 SOUTH OF CITY, 45 DEGREES ABOVE HORIZON MOVING
AT 09.21 P MARC.22 NORTH OF CITY, 62 DEGREES ABOVE HORIZON MOVING
AT 03.31 A MARC.23 SOUTH OF CITY, 35 DEGREES ABOVE HORIZON MOVING
AT 06.17 P MARC.23 SOUTH OF CITY, 23 DEGREES ABOVE HORIZON MOVING
AT 08.23 P MARC.23 NORTH OF CITY, 75 DEGREES ABOVE HORIZON MOVING
AT 04.42 A MARC.24 SOUTH OF CITY, 61 DEGREES ABOVE HORIZON MOVING
AT 07.25 P MARC.24 SOUTH OF CITY, 74 DEGREES ABOVE HORIZON MOVING
