The shared image does not contain a photograph, but rather a table of data with information about the direction and altitude of an object moving above the horizon. I will proceed to act as an OCR system and produce the text found in the document.

NORTH OF CITY, 57 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 51 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 51 DEGREES ABOVE HORIZON MOVING NE
NORTH OF CITY, 55 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 52 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 17 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 75 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 36 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 64 DEGREES ABOVE HORIZON MOVING NE
NORTH OF CITY, 63 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 64 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 57 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 63 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 55 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 22 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 52 DEGREES ABOVE HORIZON MOVING NE
NORTH OF CITY, 71 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 45 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 41 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 71 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 71 DEGREES ABOVE HORIZON MOVING NE
NORTH OF CITY, 56 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 80 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 21 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 55 DEGREES ABOVE HORIZON MOVING NE
NORTH OF CITY, 72 DEGREES ABOVE HORIZON MOVING NE
SOUTH OF CITY, 45 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 42 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 60 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 61 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 77 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 55 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 60 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 55 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 27 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 54 DEGREES ABOVE HORIZON MOVING NE
SOUTH OF CITY, 65 DEGREES ABOVE HORIZON MOVING SE
