[handwritten: HOUSTON, TEXAS]

AT 10.40 PM JUNE 10 NORTH OF CITY, 40 DEGREES ABOVE HORIZON MOVING NE
AT 00.15 AM JUNE.11 NORTH OF CITY, 25 DEGREES ABOVE HORIZON MOVING NE
AT 02.40 AM JUNE.11 NORTH OF CITY, 19 DEGREES ABOVE HORIZON MOVING SE
AT 04.55 AM JUNE.11 SOUTH OF CITY, 43 DEGREES ABOVE HORIZON MOVING SE
AT 07.00 PM JUNE.11 SOUTH OF CITY, 25 DEGREES ABOVE HORIZON MOVING NE
AT 09.00 PM JUNE.11 NORTH OF CITY, 35 DEGREES ABOVE HORIZON MOVING NE
AT 11.00 PM JUNE.11 NORTH OF CITY, 10 DEGREES ABOVE HORIZON MOVING NE
AT 01.20 AM JUNE.12 NORTH OF CITY, 12 DEGREES ABOVE HORIZON MOVING SE
AT 03.00 AM JUNE.12 NORTH OF CITY, 64 DEGREES ABOVE HORIZON MOVING SE
AT 08.40 AM JUNE.12 NORTH OF CITY, 80 DEGREES ABOVE HORIZON MOVING NE
AT 10.00 AM JUNE.12 NORTH OF CITY, 54 DEGREES ABOVE HORIZON MOVING NE
AT 00.00 AM JUNE.13 NORTH OF CITY, 10 DEGREES ABOVE HORIZON MOVING SE
AT 02.00 AM JUNE.13 NORTH OF CITY, 46 DEGREES ABOVE HORIZON MOVING SE
AT 05.00 AM JUNE.13 SOUTH OF CITY, 45 DEGREES ABOVE HORIZON MOVING SE
AT 07.00 PM JUNE.13 SOUTH OF CITY, 2 DEGREES ABOVE HORIZON MOVING NE
AT 09.00 PM JUNE.13 NORTH OF CITY, 43 DEGREES ABOVE HORIZON MOVING NE
AT 11.00 PM JUNE.13 NORTH OF CITY, 29 DEGREES ABOVE HORIZON MOVING NE
AT 01.00 AM JUNE.14 NORTH OF CITY, 16 DEGREES ABOVE HORIZON MOVING SE
AT 03.00 AM JUNE.14 NORTH OF CITY, 5 DEGREES ABOVE HORIZON MOVING SE
AT 05.00 PM JUNE.14 NORTH OF CITY, 40 DEGREES ABOVE HORIZON MOVING NE
AT 10.00 PM JUNE.14 NORTH OF CITY, 50 DEGREES ABOVE HORIZON MOVING SE
AT 00.00 PM JUNE.15 SOUTH OF CITY, 31 DEGREES ABOVE HORIZON MOVING SE
AT 02.00 AM JUNE.15 NORTH OF CITY, 8 DEGREES ABOVE HORIZON MOVING SE
AT 05.00 AM JUNE.15 SOUTH OF CITY, 52 DEGREES ABOVE HORIZON MOVING NE
AT 07.00 PM JUNE.15 NORTH OF CITY, 35 DEGREES ABOVE HORIZON MOVING NE
AT 11.00 PM JUNE.15 NORTH OF CITY, 20 DEGREES ABOVE HORIZON MOVING SE
AT 01.00 AM JUNE.16 NORTH OF CITY, 52 DEGREES ABOVE HORIZON MOVING SE
AT 03.00 AM JUNE.16 SOUTH OF CITY, 26 DEGREES ABOVE HORIZON MOVING SE
AT 08.00 PM JUNE.16 NORTH OF CITY, 45 DEGREES ABOVE HORIZON MOVING NE
AT 10.00 PM JUNE.16 NORTH OF CITY, 28 DEGREES ABOVE HORIZON MOVING NE
AT 00.00 AM JUNE.16 NORTH OF CITY, 14 DEGREES ABOVE HORIZON MOVING SE
AT 02.00 AM JUNE.17 NORTH OF CITY, 76 DEGREES ABOVE HORIZON MOVING SE
AT 05.00 AM JUNE.17 SOUTH OF CITY, 15 DEGREES ABOVE HORIZON MOVING SE

GLENDALE, CALIF.

AT 08.00 PM JUNE.10 SOUTH OF CITY, 51 DEGREES ABOVE HORIZON MOVING NE
AT 10.40 PM JUNE.10 NORTH OF CITY, 60 DEGREES ABOVE HORIZON MOVING NE
AT 00.40 AM JUNE.11 NORTH OF CITY, 40 DEGREES ABOVE HORIZON MOVING SE
AT 02.30 AM JUNE.11 NORTH OF CITY, 56 DEGREES ABOVE HORIZON MOVING SE
AT 07.41 PM JUNE.11 SOUTH OF CITY, 17 DEGREES ABOVE HORIZON MOVING NE
AT 09.47 PM JUNE.11 NORTH OF CITY, 21 DEGREES ABOVE HORIZON MOVING SE
AT 11.40 PM JUNE.11 NORTH OF CITY, 30 DEGREES ABOVE HORIZON MOVING NE
AT [illegible] AM JUNE.12 NORTH OF CITY, 21 DEGREES ABOVE HORIZON MOVING SE
AT [illegible] AM JUNE.12 SOUTH OF CITY, 23 DEGREES ABOVE HORIZON MOVING SE
AT [illegible] PM JUNE.12 NORTH OF CITY, 15 DEGREES ABOVE HORIZON MOVING NE
AT [illegible] PM JUNE.12 NORTH OF CITY, 35 DEGREES ABOVE HORIZON MOVING NE
AT [illegible] PM JUNE.13 NORTH OF CITY, 2 DEGREES ABOVE HORIZON MOVING SE
