There does not appear to be any photograph present in this image. The image appears to be a scanned page from a document that contains text describing various observations and measurements, likely related to a UFO incident.

AT 0:42 PM JUNE,14 NORTH OF CITY, 51 DEGREES ABOVE HORIZON MOVING NE
AT 0:44 AM JUNE,15 NORTH OF CITY, 57 DEGREES ABOVE HORIZON MOVING NE 
AT 0:48 AM JUNE,15 SOUTH OF CITY, 54 DEGREES ABOVE HORIZON MOVING SE
AT 0:50 AM JUNE,15 NORTH OF CITY, 55 DEGREES ABOVE HORIZON MOVING SE
AT 0:40 PM JUNE,15 NORTH OF CITY, 57 DEGREES ABOVE HORIZON MOVING NE
AT 0:40 PM JUNE,15 SOUTH OF CITY, 13 DEGREES ABOVE HORIZON MOVING SE
AT 1:45 AM JUNE,16 NORTH OF CITY, 72 DEGREES ABOVE HORIZON MOVING SE
AT 6:12 AM JUNE,16 NORTH OF CITY, 51 DEGREES ABOVE HORIZON MOVING SE
AT 0:37 PM JUNE,16 NORTH OF CITY, 52 DEGREES ABOVE HORIZON MOVING SE
AT 0:49 PM JUNE,17 NORTH OF CITY, 47 DEGREES ABOVE HORIZON MOVING SE
AT 0:57 AM JULY,17 SOUTH OF CITY, 62 DEGREES ABOVE HORIZON MOVING SE
AT 10:44 AM JULY,10 SOUTH OF CITY, 40 DEGREES ABOVE HORIZON MOVING NE
AT 10:49 AM JULY,11 NORTH OF CITY, 50 DEGREES ABOVE HORIZON MOVING SE
AT 9:36 AM JULY,11 NORTH OF CITY, 54 DEGREES ABOVE HORIZON MOVING SE
AT 9:48 AM JULY,11 SOUTH OF CITY, 15 DEGREES ABOVE HORIZON MOVING NE
AT 10:01 AM JULY,11 SOUTH OF CITY, 63 DEGREES ABOVE HORIZON MOVING SE
AT 11:47 AM JULY,11 NORTH OF CITY, 52 DEGREES ABOVE HORIZON MOVING NE
AT 1:35 PM JULY,12 SOUTH OF CITY, 47 DEGREES ABOVE HORIZON MOVING NE
AT 1:49 PM JULY,12 NORTH OF CITY, 61 DEGREES ABOVE HORIZON MOVING NE
AT 0:55 AM JULY,13 NORTH OF CITY, 73 DEGREES ABOVE HORIZON MOVING SE
AT 0:06 AM JULY,13 SOUTH OF CITY, 24 DEGREES ABOVE HORIZON MOVING NE
AT 0:45 PM JULY,13 SOUTH OF CITY, 31 DEGREES ABOVE HORIZON MOVING NE
AT 11:41 AM JULY,13 NORTH OF CITY, 76 DEGREES ABOVE HORIZON MOVING NE
AT 11:46 AM JULY,13 NORTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING NE
AT 11:30 PM JULY,14 SOUTH OF CITY, 86 DEGREES ABOVE HORIZON MOVING SE
AT 0:43 AM JULY,15 NORTH OF CITY, 57 DEGREES ABOVE HORIZON MOVING NE
AT 9:48 AM JULY,15 SOUTH OF CITY, 54 DEGREES ABOVE HORIZON MOVING SE
AT 10:27 AM JULY,15 NORTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING NE
AT 9:29 PM JULY,15 NORTH OF CITY, 13 DEGREES ABOVE HORIZON MOVING NE
AT 10:07 AM JULY,16 NORTH OF CITY, 14 DEGREES ABOVE HORIZON MOVING NE
AT 10:09 AM JULY,16 SOUTH OF CITY, 13 DEGREES ABOVE HORIZON MOVING SE
AT 10:41 AM JULY,16 NORTH OF CITY, 13 DEGREES ABOVE HORIZON MOVING NE
AT 6:07 PM JULY,17 NORTH OF CITY, 84 DEGREES ABOVE HORIZON MOVING SE
AT 6:27 PM JULY,17 SOUTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING SE
