The image does not contain any visible photographs. It appears to be a page from a document or report, possibly related to Project Blue Book, containing various text and numerical data in a tabular format.

JUNE 17, 1963

SUMMARY OF MISSILE LATTICE ELEMENT FREQUENCY

*LATTE RING FREQUENCY

LATITUDE + APPROX         LONGITUDE + APPROX HOURS GMT
38.5     -122.8       1
41.6     -124.3       1
41.3     -123.5       1
43.0     -126.0       1
43.2     -126.3       1
43.5     -126.8       1
44.3     -127.8       1
44.5     -128.0       1
45.1     -129.0       1
45.6     -129.9       1
46.2     -130.9       1
46.6     -131.5       1
47.2     -132.5       1
47.6     -133.1       1
48.0     -133.6       1
48.3     -134.1       1
48.7     -134.7       1
49.1     -135.4       1
49.6     -136.1       1
50.0     -136.6       1
