The image does not contain any photographs, only a table with text describing various measurements related to the "North of City" and "South of City" at different degrees above the horizon.

As an OCR system, the text found in the document is:

NORTH OF CITY, 76 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 75 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 69 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 55 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 75 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 68 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 59 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 57 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 56 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 62 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 57 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 61 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 52 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 52 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 57 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 61 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 60 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 55 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 69 DEGREES ABOVE HORIZON MOVING SE
EST
NORTH OF CITY, 67 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 66 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 56 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 70 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 68 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 57 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 56 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 80 DEGREES ABOVE HORIZON MOVING SE
