The image does not contain a photograph. It appears to be a page from a document with text describing various angular measurements, likely related to the movement of an unidentified object.

NORTH OF CITY, 72 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 84 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 69 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 71 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 72 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 43 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 45 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 75 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 82 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 85 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 81 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 87 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 79 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 86 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 82 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 79 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 78 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 84 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 76 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 82 DEGREES ABOVE HORIZON MOVING SE
NORTH OF CITY, 75 DEGREES ABOVE HORIZON MOVING SE
SOUTH OF CITY, 71 DEGREES ABOVE HORIZON MOVING SE
