There is no photograph present in this image. It appears to be a page from a report containing an "Echo Schedule" with information about the directions and angles of various observed objects above the horizon. The text has been successfully extracted as follows:

Echo Schedule 
10-12 Sep, 1963

Montreal, Canada
AT 01.43 UT SEP 10: SOUTH OF CITY, 80 DEGREES ABOVE HORIZON MOVING NE
AT 01.46 UT SEP 10: NORTH OF CITY, 82 DEGREES ABOVE HORIZON MOVING NW  
AT 01.49 UT SEP 10: SOUTH OF CITY, 80 DEGREES ABOVE HORIZON MOVING NE
AT 01.52 UT SEP 10: NORTH OF CITY, 82 DEGREES ABOVE HORIZON MOVING NW
AT 02.36 UT SEP 10: SOUTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING NE
AT 02.39 UT SEP 10: NORTH OF CITY, 85 DEGREES ABOVE HORIZON MOVING NW
AT 02.42 UT SEP 10: SOUTH OF CITY, 87 DEGREES ABOVE HORIZON MOVING NE
AT 02.45 UT SEP 10: NORTH OF CITY, 88 DEGREES ABOVE HORIZON MOVING NW
AT 03.20 UT SEP 10: NORTH OF CITY, 89 DEGREES ABOVE HORIZON MOVING SE

Quebec, Canada
AT 00.43 UT SEP 10: NORTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING NE
AT 00.46 UT SEP 10: SOUTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING SW
AT 00.49 UT SEP 10: NORTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING NE
AT 00.52 UT SEP 10: SOUTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING SW
AT 01.29 UT SEP 10: SOUTH OF CITY, 85 DEGREES ABOVE HORIZON MOVING NE
AT 01.32 UT SEP 10: NORTH OF CITY, 85 DEGREES ABOVE HORIZON MOVING SW
AT 01.35 UT SEP 10: SOUTH OF CITY, 85 DEGREES ABOVE HORIZON MOVING NE
AT 01.38 UT SEP 10: NORTH OF CITY, 84 DEGREES ABOVE HORIZON MOVING SW
AT 02.21 UT SEP 10: SOUTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING NE
AT 02.24 UT SEP 10: NORTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING SW
AT 02.27 UT SEP 10: SOUTH OF CITY, 84 DEGREES ABOVE HORIZON MOVING NE
AT 02.30 UT SEP 10: NORTH OF CITY, 84 DEGREES ABOVE HORIZON MOVING SW
AT 03.21 UT SEP 10: SOUTH OF CITY, 83 DEGREES ABOVE HORIZON MOVING SE
