The image does not contain any photographs. It appears to be a scanned page from a Project Blue Book record card, which is a document used by the United States Air Force to record and investigate unidentified flying object (UFO) sightings. 

1. DATE
2. DATE-TIME GROUP  1-2 Sep 63
3. LOCATION   Bloomington, Illinois 
4. TYPE OF OBSERVATION   Ground-Visual

5. PHOTOS   Yes

6. NUMBER OF OBJECTS   1 
7. COURSE   SW
8. DURATION    30 minutes... 15 minutes

9. DESCRIPTION OF EVENT   Round white obj in sight for about 30 mins. Turned off 15 mins. Initial appearance at 45 deg elevation moved from S to NW. Fast. Disappeared at 25 deg elevation.

10. COMMENTS   Jupiter.
