The image does not contain any photographs. It appears to be a page from a report or document that contains a table with details about sighting observations. The table lists the time, date, location, and angular elevation above the horizon of various sighting events.

CLEVELAND, OHIO

AT 11:13 PM MAY .04 SOUTH OF CITY, 54 DEGREES ABOVE HORIZON MOVING NE
AT 01:16 AM MAY .05 NORTH OF CITY, 73 DEGREES ABOVE HORIZON MOVING NE
AT 03:18 AM MAY .05 NORTH OF CITY, 66 DEGREES ABOVE HORIZON MOVING SE
AT 00.05 AM MAY .06 NORTH OF CITY, 89 DEGREES ABOVE HORIZON MOVING NE
AT 02:08 AM MAY .06 NORTH OF CITY, 65 DEGREES ABOVE HORIZON MOVING NE
AT 04:17 AM MAY .06 NORTH OF CITY, 77 DEGREES ABOVE HORIZON MOVING NE
AT 08:46 PM MAY .06 SOUTH OF CITY, 03 DEGREES ABOVE HORIZON MOVING NE
AT 10:53 PM MAY .06 SOUTH OF CITY, 62 DEGREES ABOVE HORIZON MOVING SE
AT 00.57 AM MAY .07 NORTH OF CITY, 70 DEGREES ABOVE HORIZON MOVING NE
AT 02:58 AM MAY .07 NORTH OF CITY, 67 DEGREES ABOVE HORIZON MOVING SE
AT 09:41 PM MAY .07 SOUTH OF CITY, 31 DEGREES ABOVE HORIZON MOVING NE
AT 11:46 PM MAY .07 NORTH OF CITY, 84 DEGREES ABOVE HORIZON MOVING NE
AT 01:48 AM MAY .08 NORTH OF CITY, 64 DEGREES ABOVE HORIZON MOVING SE
AT 03:59 AM MAY .08 NORTH OF CITY, 82 DEGREES ABOVE HORIZON MOVING SE
AT 08:27 PM MAY .08 SOUTH OF CITY, 07 DEGREES ABOVE HORIZON MOVING NE
AT 10:34 PM MAY .08 SOUTH OF CITY, 70 DEGREES ABOVE HORIZON MOVING NE
AT 00:37 AM MAY .09 NORTH OF CITY, 68 DEGREES ABOVE HORIZON MOVING NE
AT 02:38 AM MAY .09 NORTH OF CITY, 69 DEGREES ABOVE HORIZON MOVING SE
AT 04:42 PM MAY .09 SOUTH OF CITY, 67 DEGREES ABOVE HORIZON MOVING SE
AT 09:21 PM MAY .09 SOUTH OF CITY, 38 DEGREES ABOVE HORIZON MOVING NE
AT 11:25 PM MAY .09 NORTH OF CITY, 79 DEGREES ABOVE HORIZON MOVING NE
AT 01:27 AM MAY .10 NORTH OF CITY, 64 DEGREES ABOVE HORIZON MOVING SE
AT 03:30 AM MAY .10 SOUTH OF CITY, 87 DEGREES ABOVE HORIZON MOVING SE
AT 08:08 PM MAY .10 SOUTH OF CITY, 12 DEGREES ABOVE HORIZON MOVING NE
AT 10:14 PM MAY .10 SOUTH OF CITY, 77 DEGREES ABOVE HORIZON MOVING NE
AT 00:16 AM MAY .11 NORTH OF CITY, 66 DEGREES ABOVE HORIZON MOVING SE
AT 02:18 AM MAY .11 NORTH OF CITY, 71 DEGREES ABOVE HORIZON MOVING SE
AT 00:22 AM MAY .11 SOUTH OF CITY, 59 DEGREES ABOVE HORIZON MOVING SE
