The image does not contain a photograph. It appears to be a table listing additional reported UFO sightings, including the date, location, source, and evaluation for each sighting.

16 - 31 MAY 1964 SIGHTINGS
ADDITIONAL REPORTED SIGHTINGS (NOT CASES)
DATE LOCATION SOURCE EVALUATION
16 Painesville, Ohio Newscl ipping
17 Stockbridge, Georgia Newscl ipping
18 Terre Haute, Indiana Newscl ipping
19 Greeneville, Indiana Newscl ipping
22 Ft Wayne, Indiana Newscl ipping
23 Rockville, Arizona Newscl ipping
24 Tucson, Arizona Newscl ipping
27 Wakefield, England Newscl ipping
29 Cuyahoga Falls, Ohio Newscl ipping
30 Las VILLAS Province, Cuba Newscl ipping
30 Phoenix, Arizona Newscl ipping
