WB FORM 186
(REV. 10-54)

U.S. DEPARTMENT OF COMMERCE - WEATHER BUREAU

STATION: [handwritten: Staunton, Va.]

DATE: 1964 MAY

SURFACE WEATHER OBSERVATIONS

| Type | Time (LST) | Sky and ceiling (Hundreds of Feet) | Visibility (statute miles) | Weather obstructions to vision | Weather (pres. phenom.) | Sea level press. (mb.) | Temp. (°F) | Dew pt. (°F) | Wind Direction | Wind Speed (knots) | Altimeter Setting (inches) | Remarks and supplemental codes |
|------|------|------|------|------|------|------|------|------|------|------|------|------|
| (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | (10) | (11) | (12) | (13) |
| P | 2025 | -X | 1/8 | F | 1/27 | 50 | 56 | 00 00 | 03 | 161 | 3003 | |
| R | 2130 | O | 6 | GF | 192 | 58 | 54 | 3.5 07 | 25 | | |
| R | 2150 | O | 6 | GF | 177 | 56 | 53 | 3.5 08 | 07 | | |
| R | 2153 | O | 6 | GF | 199 | 54 | 53 | 3.5 07 | 26 | 212 | |
| R | 2155 | O | 5 | GF | 211 | 51 | 51 | 60 00 | 04 | | |
| R | 2156 | O | 5 | | 215 | 50 | 51 | 00 00 | 005 | | |
| A | 2637 | O | 12 | | 221 | 61 | 57 | 00 00 | 018 | 224 | |
| A | 2710 | O | 15 | | 1181 | 64 | 51 | 00 00 | 020 | | |
| A | 2730 | O | 157 | | 333 | 71 | 60 | 01 07 | 021 | | |
| A | 2752 | O | 154 | | 235 | 74 | 63 | 2.6 04 | 021 | 108 | |
| A | 2753 | O | 154 | | 151 | 77 | 65 | 29 07 | 019 | | |
| K | 1209 | 40 0/-0 | 154 | | 327 | 79 | 67 | 30 60 | 017 | | |
| R | 1257 | 40 0/-0 | 154 | | 117 | 78 | 63 | 29 07 | 019 | 708 | 1101 |
| K | 1337 | 40 0 | 154 | | 223 | 81 | 64 | 33 05 | 018 | | |
| N | 1455 | 40 0 | 154 | | 220 | 83 | 67 | 36 07 | 016 | | |
| R | 1355 | 40 0 | 153 | | 216 | 85 | 68 | 36 05 | 015 | 710 | 1100 |
| R | 1655 | 1-0 | 154 | | 215 | 85 | 59 | 36 05 | 015 | | |
| R | 1709 | 0 | 154 | | 213 | 91 | 60 | 00 05 | 0114 | | |
| A | 1839 | 1-0 | 154 | | 2/1472 | 60 | 03 03 | 005 | 500 | 1095 | |
| P | 1959 | 1-0 | 12 | | 2114 | 66 | 61 | 00 00 | 016 | | |
| P | 2022 | 1-0 | 12 | | 2225 | 61 | 57 | 00 00 | 078 | | |
| P | 2152 | 1-0 | 12 | | 22(0/9 | 57 | 60 | 00 00 | 019 | 114 | 1006 |
| P | 2354 | 1-0 | 12 | | 22(2/0 | 57 | 00 00 | 019 | | |
| P | 2355 | 1-0 | 15 | | 2226 | 57 | 54 | 00 00 | 019 | | |
