There is no photograph present in this image. It appears to be a page from an old UFO report document containing a table with sighting details.

ELIZABETH, N.J. EST
AT 10:56 PM MAY -18 NORTH OF CITY, 62 DEGREES ABOVE HORIZON MOVING SE
AT 09:45 PM MAY -19 NORTH OF CITY, 59 DEGREES ABOVE HORIZON MOVING NE
AT 11:47 PM MAY -20 NORTH OF CITY, 58 DEGREES ABOVE HORIZON MOVING SE
AT 10:35 PM MAY -20 NORTH OF CITY, 63 DEGREES ABOVE HORIZON MOVING SE
AT 09:24 PM MAY -21 NORTH OF CITY, 58 DEGREES ABOVE HORIZON MOVING NE
AT 11:26 PM MAY -21 NORTH OF CITY, 79 DEGREES ABOVE HORIZON MOVING SE
AT 10:15 PM MAY -22 NORTH OF CITY, 64 DEGREES ABOVE HORIZON MOVING SE
AT 00:18 AM MAY -23 SOUTH OF CITY, 67 DEGREES ABOVE HORIZON MOVING SE
AT 11:05 PM MAY -23 NORTH OF CITY, 84 DEGREES ABOVE HORIZON MOVING SE
AT 09:54 PM MAY -24 NORTH OF CITY, 67 DEGREES ABOVE HORIZON MOVING SE
AT 11:57 PM MAY -24 SOUTH OF CITY, 59 DEGREES ABOVE HORIZON MOVING SE
