This image does not contain a photograph. It appears to be a table or chart with various numerical and text data related to a project or investigation.

Following is the text output from the document:

Form 1 Project Blue Book
Tracking Data for Transmission
73 4 72 1 262 7 21 4
4 5 2 24 42 2 3 31
72 31 72 3 27 4 22 4
71 32 71 4 32 5 23 4
70 33 70 5 33 6 24 4
69 34 69 6 34 7 25 4
68 35 68 7 35 8 26 4
67 36 67 8 36 9 27 4
66 37 66 9 37 10 28 4
65 38 65 10 38 11 29 5
64 39 64 11 39 12 30 5
63 40 63 12 40 - 31 5
62 41 62 13 41 - 32 5
61 42 61 14 42 - 33 5
60 43 60 15 43 - 34 5
59 44 59 16 44 - 35 5
58 45 58 17 45 - 36 5
57 46 57 18 46 - 37 5
56 47 56 19 47 - 38 5
55 48 55 20 48 - 39 5
50 49 50 21 49 - 40 6
