[stamp: DECLASSIFIED]

*Identification

Portland, Maine (City Airport)
[illegible]
Azimuth: North or Sso South

U.S. DEPARTMENT OF COMMERCE
WEATHER BUREAU

WINDS-ALOFT COMPUTATION SHEET
(RADIOSONDE FORM)
WBAN-26

Orientation, 360°= South

| Actual Time (D.B.T.) | Year | Month | Day | Time |
|---|---|---|---|---|
| 1964 JUL 1 8 | [illegible] | 1964 JUL 1 3 | [illegible] | |

Ascension No.: [illegible]

Rawinsonde Time-Altitude Data

| P (m above sea level) | Ht. above surface (m) | Elevation angle ° Observed | Smoothed | Distance from observation point (km) | Azimuth angle ° | Wind Direction ° 360°= N. | Speed (m/sec) | Comp. Pressure (mb) | S | Altitude (m) | Elevated Ht.(m) |
|---|---|---|---|---|---|---|---|---|---|---|---|
| | 1 | | 27.0 | | | 0° 00' | 1 | -110 | 18.5 | 5 | -1-4 | --- | () |
| | 2 | | [illegible] | [illegible] | | | 2 | 278 | 17.2 | 10 | -1-4 | 10550 | 4.6 |
| | | | | | 13.90 | | 3 | 292 | 17.6 | 15 | 5.2 | --- | 65 |
| 614 | 3 | | | | | | 4 | 268 | 14.5 | 20 | -1-4 | 9 | |
| 512 | 2 | | 17 | | 25.60 | | 5 | 300 | 15.4 | 25 | 1.4 | 8.2 | |
| | 4 | | 19.0 | | 1870.0 | [illegible] | 4 | 243 | 15.0 | 30 | -1-1 | -1-1-1 | 16.5 |
| | 5 | | [illegible] | | 2400 | 28.5 | 5 | 267 | 17.05 | 35 | 5600 | -1-1-5 | 49.5 |
| | 6 | | [illegible] | 22.4 | 4500 | 22.9 | 6 | 268 | 15.5 | 40 | -1-1-1 | -1-1-1-1 | 50.9 |
| | 7 | | -3-0 | 21.6 | [illegible] | [illegible] | 7 | 273 | 15.9 | 45 | -1-1-1 | --- | 40.9 |
| | 8 | | 20.0 | | 6350 | 24.0 | 8 | 298 | 16.9 | 50 | -1-1-1 | C-1C0 | 2649 |
| 1210 | 9 | | [illegible] | 19.0 | 7300 | [illegible] | 9 | 287 | 13.0 | 55 | 2-2-2 | 9900 | 23.4 |
| 1190 | 10 | | [illegible] | [illegible] | [illegible] | [illegible] | 10 | 259 | 10.0 | 60 | --- | 8400 | 50 |
| | 11 | | [illegible] | 1000 | 7500 | [illegible] | 11 | 269 | 10.0 | 65 | --- | 9100 | 30.6 |
| 2850 | 12 | | -3-0 [illegible] | | 9000 | 20.5 | 12 | 266 | 11.7 | 70 | --- | 4900 | 35 |
| 2850 | 13 | | [illegible] | 19.4 | 9500 | 26.5 | 13 | 259 | 11.9 | 75 | --- | 10505 | -3-1 |
| | 14 | | [illegible] | 18.5 | [illegible] | 24.0 | 14 | 239 | 13.0 | 80 | --- | 11140 | 45.5 |
| 2750 | 15 | | [illegible] | 18.0 | [illegible] | 27.0 | 15 | 259 | 9.9 | 85 | --- | 10.7 | 52.6 |
| 2050 | 16 | | -1-1-0 20.0 | | 11500 | 1.69 | 16 | 269 | 9.1 | 90 | [illegible] | 12470 | 40-1 |
| 1867 | 17 | | [illegible] [illegible] | | 12100 | 1.620 | 17 | 266 | 8.5 | 92 | [illegible] | 1513 5 | 49.1 |
| 1810 | 18 | | [illegible] | 17.0 | 12600 | 1.660 | 18 | 296 | 6.8 | 100 | [illegible] | 7200 | 57.0 |
| 1615 | 19 | | [illegible] | 16.8 | 13400 | [illegible] | 19 | 2553 | 10.0 | 105 | [illegible] | 12050 | 57.0 |
| | 20 | | [illegible] | 17.0 | 15000 | 2.646 | 20 | 2375 | 9.6 | 110 | --- | 15210 | -5-1 |
| | 21 | | 5110 | 2.4 | 14100 | 2.676 | 21 | 245 | 8.6 | 115 | 10.5 | 16150 | 57.1 |
| 4400 | 22 | | 5110 | 2.0 | 14600 | 2.666 | 22 | 273 | 5.5 | 120 | -1-4 | 17650 | 60.4 |
| 4235 | 23 | | 5110 | 0.5 | 15000 | 1.67 | 23 | 267.2 | 6.12 | 125 | 9.5 | 18.3 | 64 |
| 4440 | 24 | | -1-0 | [illegible] | 15500 | 1.614 | 24 | 286 | 9.6 | 130 | --- | 19-40 | 67.5 |
| 4350 | 25 | | 2700 | [illegible] | [illegible] | 2.575 | 25 | | | 135 | --- | 2 1036 | 71.1 |
| | 26 | | [illegible] | [illegible] | [illegible] | [illegible] | 26 | 293 | 4.9 | 140 | 8.5 | 23710 | 76.5 |
| | 27 | | [illegible] | [illegible] | Kzero | [illegible] | 27 | | | | --- | 27994 | -1-6 |
