The image provided does not contain a photograph. It appears to be a page from an old UFO report document from Project Blue Book, with handwritten text and markings at the top.

Performing OCR (Optical Character Recognition) on the text in the document:

echo i
af 009 21 of 2A/3 of 2O of 31 of 3A
af 009 21 of 2A/3 of 2O of 31 of 3A
af 009 21 of 2A/3 of 2O of 31 of 3A
af 009 21 of 2A/3 of 2O of 31 of 3A
af 009 21 of 2A/3 of 2O of 31 of 3A
af 009 21 of 2A/3 of 2O of 31 of 3A
af 009 21 of 2A/3 of 2O of 31 of 3A
af 009 21 of 2A/3 of 2O of 31 of 3A
