The image does not contain any photograph. It appears to be a page from a UFO report document with a table listing various locations and dates.

TEXT TRANSCRIPTION:

14 AUGUST 1964 SIGHTINGS
ADDITIONAL REPORTED SIGHTINGS ( NOT CASES )
DATE LOCATION SOURCE
Fall Lansing, Michigan UFP
5 Aug Siessler, Ohio UFP
Aug Niagara Falls, ON., Canada
Aug New Paris, Ohio UfP
6 Aug Cottage Lake, Ohio Navy
6 Aug Mullen, Montana UfP
9 Aug Box Elder, Montana UfP
9 Aug Lewistown, Montana UFP
10 Aug Hamilton, Montana UfP
11 Aug Dufuont, Ohio UfP
13 Royal City, Washington UfP
