The image appears to be a radar display or photograph from a radar system. It shows a series of concentric circles with some markings or labels around the edges. There does not appear to be any human faces or identifiable individuals in the image.

CASE SUMMARY

1. Date	: 8 Nov 1964
2. Time	: 1800 Z
3. Location	: Atlantic Ocean, 18-10N 66-12W
4. Altitude	: not given
5. Compass Dir.	: not given
6. Speed	: not given
7. Duration	: 20 minutes
8. No. of Objects	: 1
9. Size of Objects	: 1/2 mile in diameter
10. No. of Witnesses	: 1
11. Type of Observation	: Radar
12. Radar Track	: Yes
13. Radar Type	: Airborne search radar
14. Radar Signature	: Unusual target
15. Weather Conditions	: Clear
16. Investigator	: PJOA BLUE BOOK
