The image appears to be a page from a Project Blue Book UFO report document. There is no photograph present in this particular page.

Transcribed text:

DATE LOCATION EVALUATION
4 - 6 AUGUST 1955 SIGHTINGS
5 Casa Grande, Arizona Insufficient Data
2 Dallas, Texas Astro
Laredo A-31, Texas Astro
Basil J. EDELSON Los Angeles, California Military
Sayville, New York Astro
Beaver Falls, Pennsylvania Astro
Dallas, Texas Astro
Glennville, Louisiana Astro
Alexandria, Louisiana Astro
Ottumwa, Kansas Insufficient Data
Honolulu, Hawaii Insufficient Data
Tinley Park, Illinois Astro
MISSING Other
Clovis, California Astro
Vallejos, Oregon Astro
5 Castleton, New York 33-33N 14-5W (PACIFIC) Military (PHOTO)
Dayton, Ohio -
Bellefontaine, Ohio -
Dayton, Ohio Other
Pittsburgh, Pennsylvania Astro
Greensburg, Pennsylvania Astro
Albuquerque, New Mexico United Airlines
Castleton, Illinois Area Balloon
Torrance, California Astro
9-9 Laredo, Texas -
9-11 Sioux City, Iowa (PHOTO)
6 Macon, Georgia Insufficient Data
Sioux City, Iowa (PACIFIC) Military
Van Buren Ark. (PACIFIC) Colorado
Chicago, Illinois Insufficient Data
Albuquerque, New Mexico Astro
San Rafael, California Insufficient Data
