The image does not contain any photograph. It appears to be a table displaying "TOTAL UFO (OBJECT) SIGHTINGS" compiled on 17 Jan 66. The table shows the total number of sightings and unidentified sightings per year from 1947 to 1965, along with the source of the information, which includes Case Files, Blue Book, and page numbers.

TOTAL UFO (OBJECT) SIGHTINGS
(Compiled 17 Jan 66)

YEAR    TOTAL SIGHTINGS    UNIDENTIFIED    SOURCE
1947    122                12             Case Files
1948    156                7              Case Files
1949    186                22             Blue Book, page 108
1950    210                27             Case Files
1951    1,051              303            Blue Book, page 108
1952    1,501              42             Case Files
1953    509                24             Case Files
1954    446                24             Case Files
1955    970                14             Case Files
1956    1,006              14             Case Files
1957    627                10             Case Files
1958    351                12             Case Files
1959    399                13             Case Files
1960    557                14             Case Files
1961    391                13             Case Files
1962    474                15             Case Files
1963    392                14             Case Files
1964    562                19             Case Files
1965    886                16             Case Files
TOTAL   10,147             646
