The image does not contain any photographs. It appears to be a page from a document with entries in a tabular format, likely containing details of various UFO sightings or reports.

Text transcribed from the document:

CONTACT CLOSED CONTACTS OF CAR
OBJECT MOTION APPROX ELEVATION DURATION DEGREES
--------- ----- --- ----------- -------- -------
STATIONARY 5-6 50 SEC 2-3 SECONDS
STATIONARY 8-10 50 SEC 3-4 SECONDS 
STATIONARY 7-8 50 SEC 3 SECONDS
STATIONARY 5-6 30 SEC 2-3 SECONDS
STATIONARY 6-7 40 SEC 2-3 SECONDS
STATIONARY 7-8 50 SEC 3-4 SECONDS
STATIONARY 6-7 50 SEC 3 SECONDS
STATIONARY 8-9 50 SEC 4 SECONDS
STATIONARY 6-7 40 SEC 2-3 SECONDS
STATIONARY 7-8 50 SEC 3-4 SECONDS
STATIONARY 6-7 50 SEC 3 SECONDS
STATIONARY 5-6 40 SEC 2-3 SECONDS
STATIONARY 7-8 50 SEC 3-4 SECONDS
STATIONARY 6-7 50 SEC 3 SECONDS
STATIONARY 8-9 50 SEC 4 SECONDS
STATIONARY 6-7 40 SEC 2-3 SECONDS
