The image does not appear to contain any photographs. It is a Project 10073 Record document from Project Blue Book, which describes an observation of two lights that occurred on March 22, 1966 in Richmond, Maine.

PROJECT 10073 RECORD
1. DATE-TIME GROUP 	22 Mar 66 Night
2. LOCATION 	Richmond, Maine 
3. SOURCE 	Civilian
4. NUMBER OF OBJECTS 	TWO
5. LENGTH OF OBSERVATION 	Not reported
6. TYPE OF OBSERVATION 	Ground-visual
7. COURSE 	See summary
8. BRIEF SUMMARY AND ANALYSIS 	Observer reported seeing two lights which appeared to his left then disappeared and reappeared again on his left. Continued in this manner several times, on a definite periodic interval. One light was anchored and the other light moved relative to it. Observer states that since the lights had appeared several times before he realized that they were actually ships rather than aircraft, he got the idea that the observer was actually poking fun at other people who had seen these lights in the area rather than making a report.
9. PHYSICAL EVIDENCE 	NONE
10. CONCLUSION 	Other (Search Lights)
11. PHOTOS 	No
