The image does not contain any photographs. It appears to be a table or data sheet from a UFO report document, specifically from Project Blue Book. The text in the image is as follows:

ALTITUDE PRESSURE TE. DIRES TICN DIST
4217 549 25 21 250 12 
4166 550 23 24 250 13
4129 750 15 26 250 26
3372 700 9 27 270 28
3280 650 3 34 280 26
4323 600 -3 39 280 28
5000 550 -7 24 290 23
5743 550 -9 18 300 24
5550 450 -15 13 310 26
7111 400 -23 13 290 22
2560 380 -32 5 320 40
3454 330 -39 7 320 14
1239 255 -48 - 330 26
4514 200 -65 - 330 48
13278 175 -56 - 310 44
13746 150 -61 - 300 35
15426 135 -69 - 280 38
17754 80 -68 - 280 33
23594 50 -69 - 280 16

REMARKS:
DATA SOURCE: USAF Upper-air History Files.
ANALYST: TSgt Dunham
