The image does not contain a photograph. It appears to be a page from a Project Blue Book document, with handwritten text describing an unidentified aerial object sighting.

The text in the document reads:

34. Date you completed this questionnaire: 22 JULY 66

35. Information which you feel pertinent and which is not adequately covered in the specific points of the questionnaire or a narrative explanation of your sighting.

Object appeared stationary then disappeared over the horizon in a matter of seconds.

Weather: 
Temp: 70 
9000' 90007
Haze 500/100=.2255 
Visib: 10/1906=
Winds: 320/15
10m 3435
15m 3345
20m 3355 
30m 3410
40m 2945
50m 3075
