The image does not contain any photographs. This appears to be a table or chart with numerical data and text.

PROJECT: 3333B - STAR TRACK - (SYST DURHAM)
WINDS ALOFT - GLASGOW AFB, MONTANA
Altitude (feet) - Observed (Kts) - Forecast
3,000 - 310 - 3
4,000 - 300 - 3
5,000 - 330 - 5
6,000 - 340 - 5
7,000 - 330 - 15
8,000 - 320 - 19
9,000 - 340 - 21
10,000 - 330 - 21
11,200 - 340 - 20
12,200 - 330 - 20
13,200 - 340 - 22
14,200 - 350 - 29
15,200 - 350 - 29
16,200 - 340 - 43
20,000 - 340 - 53
22,000 - 340 - 75
25,200 - 340 - 91
28,000 - 340 - 104
30,000 - 340 - 92
32,000 - 330 - 93
35,000 - 340 - 84
36,000 - 340 - 49
40,000 - 330 - 62
45,000 - 330 - 55
50,000 - 340 - 36
51,000 - 330 - 22
60,000 - 350 - 29
70,000 - 040 - 13
80,000 - 040 - 6
90,000 - 040 - 6
95,000 - 050 - 14
100,000 - 040 - 27
101,000 - 030 - 31
