The image appears to be a page from a Project Blue Book UFO report document. There is no visible photograph or image contained within this particular page. The text on the page appears to be a form or table with various rows and columns, likely used for recording data related to UFO sightings or observations.

JANUARY 1969

REPORT 69-1 - 6 - 1

DAY 20 22

AZIMUTH ---

ANIMAL ---

BIRDS --- 

GROUND ---

HUMAN ---

POWER ---

WATER ---

EFFECT --- 

--- ---

HEAT X

LIGHT X 

SIGNAL X

SOUND ---

GROUND ---

VAPOR X

LOCALE ---

BLDG X

CITY ---

FG 12
