The image appears to contain a series of meteorological maps and charts, including a large contour map in the center. There is no photograph present in this image.

23 15 
10 00 18 47 01 10
00 17 33 46 00 09 
38 37 36 35 34 33 32
31 30 29 28 27 26 25
24 23 22 21 20 19 18
17 16 15 14 13 12 11
10 09 08 07 06 05 04
03 02 01 00 99 98 97
96 95 94 93 92 91 90
89 88 87 86 85 84 83
82 81 80 79 78 77 76
75 74 73 72 71 70 69
68 67 66 65 64 63 62
61 60 59 58 57 56 55
54 53 52 51 50 49 48
47 46 45 44 43 42 41
40 39 38 37 36 35 34
33 32 31 30 29 28 27
26 25 24 23 22 21 20
19 18 17 16 15 14 13
12 11 10 09 08 07 06
05 04 03 02 01 00 99
98 97 96 95 94 93 92
91 90 89 88 87 86 85
84 83 82 81 80 79 78
77 76 75 74 73 72 71
70 69 68 67 66 65 64
63 62 61 60 59 58 57
56 55 54 53 52 51 50
49 48 47 46 45 44 43
42 41 40 39 38 37 36
35 34 33 32 31 30 29
28 27 26 25 24 23 22
21 20 19 18 17 16 15
14 13 12 11 10 09 08
07 06 05 04 03 02 01
00
