The image contains several hand-drawn sketches and diagrams, but does not appear to contain any photographs. As requested, I will now act as an optical character recognition (OCR) system and produce the text found in the document:

RADAR PLOTTING FORM 

SITE CODE: 
TIME ZONE: 
ALTITUDE: 
AZIMUTH: 
RANGE:

120 18 02  
120 20 17  
120 22 31
120 24 46
120 27 01
120 29 16
120 31 31
120 33 46
120 36 01
120 38 16
120 40 31
120 42 46
120 45 01
120 47 16
120 49 31
120 51 46
120 54 01
120 56 16
120 58 31
121 00 46
121 03 01
121 05 16
121 07 31
121 09 46
121 12 01
121 14 16
121 16 31
121 18 46
121 21 01
121 23 16
121 25 31
121 27 46
121 30 01
121 32 16
121 34 31
121 36 46
121 39 01
121 41 16
121 43 31
121 45 46
121 48 01
121 50 16
121 52 31
121 54 46
121 57 01
121 59 16
122 01 31
122 03 46
122 06 01
122 08 16
122 10 31
122 12 46
122 15 01
122 17 16
122 19 31
122 21 46
122 24 01
122 26 16
122 28 31
122 30 46
122 33 01
122 35 16
122 37 31
122 39 46
122 42 01
122 44 16
122 46 31
122 48 46
122 51 01
122 53 16
122 55 31
122 57 46
123 00 01
123 02 16
123 04 31
123 06 46
