score,case,reasons,pdf
7,1961-01-8628192-SouthernCalif.txt,A:witnesses=1000; B:witnesses_1000_not_in_text; E:hedges=6; F:location_mismatch,/Volumes/Expansion/data/1960s/1961-01-8628192-SouthernCalif.pdf
7,1965-08-9370907-MissileSiteInNebraska.txt,B:witnesses_11_not_in_text; C:dur_meta=5148000.0s_vs_form=120.0s; E:hedges=9; F:location_mismatch,/Volumes/Expansion/data/1960s/1965-08-9370907-MissileSiteInNebraska.pdf
6,1952-05-9613278-Seattle-Washington.txt,A:witnesses=1000; B:witnesses_1000_not_in_text; E:hedges=13,/Volumes/Expansion/data/1950s/1952-05-9613278-Seattle-Washington.pdf
6,1958-10-7200293-15MiSOfCameron-Arizona.txt,C:dur_meta=1200.0s_vs_form=3.0s; E:hedges=15; F:location_mismatch; G:form='one'_vs_obj='four strange lighted objects in the sky',/Volumes/Expansion/data/1950s/1958-10-7200293-15MiSOfCameron-Arizona.pdf
6,1963-03-9316858-PacificHawaiianIslandsandarea.txt,A:witnesses=1000; B:witnesses_1000_not_in_text; F:location_mismatch,/Volumes/Expansion/data/1960s/1963-03-9316858-PacificHawaiianIslandsandarea.pdf
6,1965-08-9370948-NebraskaArea.txt,C:dur_meta=900.0s_vs_form=120.0s; E:hedges=7; F:location_mismatch; G:form='one'_vs_obj='three unidentified flying objects',/Volumes/Expansion/data/1960s/1965-08-9370948-NebraskaArea.pdf
5,1951-02-7006612-EastAfrica.txt,B:witnesses_11_not_in_text; E:hedges=7; F:location_mismatch,/Volumes/Expansion/data/1950s/1951-02-7006612-EastAfrica.pdf
5,1953-02-9555238-Borneo.txt,B:witnesses_100_not_in_text; C:dur_meta=2400.0s_vs_form=300.0s,/Volumes/Expansion/data/1950s/1953-02-9555238-Borneo.pdf
5,1954-10-8727450-ALBUQUERQUE-NEWMEXICO.txt,C:dur_meta=900.0s_vs_form=3.0s; E:hedges=7; G:form='one'_vs_obj='three bright glowing objects in the sky',/Volumes/Expansion/data/1950s/1954-10-8727450-ALBUQUERQUE-NEWMEXICO.pdf
5,1954-12-6963465-EDINTEN-NORTHCAROLINA.txt,C:dur_meta=300.0s_vs_form=20.0s; E:hedges=22; G:form='one'_vs_obj='multiple unidentified flying objects',/Volumes/Expansion/data/1950s/1954-12-6963465-EDINTEN-NORTHCAROLINA.pdf
5,1960-07-7817616-COLUMBUS-OHIO.txt,C:dur_meta=7362000.0s_vs_form=5.0s; E:hedges=20; G:form='one'_vs_obj='two dark elongated objects in the sky',/Volumes/Expansion/data/1960s/1960-07-7817616-COLUMBUS-OHIO.pdf
5,1965-01-8722383-Bethel-Vermont.txt,"C:dur_meta=900.0s_vs_form=25.0s; E:hedges=61; G:form='one'_vs_obj='two round, reddish-orange objects'",/Volumes/Expansion/data/1960s/1965-01-8722383-Bethel-Vermont.pdf
5,1965-04-9071223-Dayton-Ohio.txt,C:dur_meta=120.0s_vs_form=3600.0s; E:hedges=20; G:form='one'_vs_obj='one stationary object and two luminous o',/Volumes/Expansion/data/1960s/1965-04-9071223-Dayton-Ohio.pdf
4,1947-07-9669075-[ILLEGIBLE]-[ILLEGIBLE]-.txt,"E:hedges=168; F:location_mismatch; G:form='one'_vs_obj='two circular, shiny objects'",/Volumes/Expansion/data/1940s/1947-07-9669075-[ILLEGIBLE]-[ILLEGIBLE]-.pdf
4,1948-11-6387743-10mi-EVaugn-N-M--225-.txt,C:dur_meta=7920000.0s_vs_form=300.0s; E:hedges=47; F:location_mismatch,/Volumes/Expansion/data/1940s/1948-11-6387743-10mi-EVaugn-N-M--225-.pdf
4,1949-09-6313543-GooseBay-Labrador.txt,"E:hedges=36; F:location_mismatch; G:form='one'_vs_obj='multiple round, shiny objects'",/Volumes/Expansion/data/1940s/1949-09-6313543-GooseBay-Labrador.pdf
4,1952-04-6311632-[ILLEGIBLE].txt,C:dur_meta=25200.0s_vs_form=1200.0s; E:hedges=13; F:location_mismatch,/Volumes/Expansion/data/1950s/1952-04-6311632-[ILLEGIBLE].pdf
4,1952-05-9614342--SEOfJapan-34DEG15N-139DEG30E.txt,C:dur_meta=6948000.0s_vs_form=600.0s; E:hedges=16; F:location_mismatch,/Volumes/Expansion/data/1950s/1952-05-9614342--SEOfJapan-34DEG15N-139DEG30E.pdf
4,1952-07-7482181-NOVASSEURAFBMOROCCO.txt,C:dur_meta=15.0s_vs_form=2100.0s; E:hedges=121; F:location_mismatch,/Volumes/Expansion/data/1950s/1952-07-7482181-NOVASSEURAFBMOROCCO.pdf
4,1952-08-6996614-[ILLEGIBLE].txt,C:dur_meta=120.0s_vs_form=2100.0s; E:hedges=51; F:location_mismatch,/Volumes/Expansion/data/1950s/1952-08-6996614-[ILLEGIBLE].pdf
4,1952-08-8763445-MacDillAFB-Florida.txt,B:witnesses_22_not_in_text; E:hedges=6,/Volumes/Expansion/data/1950s/1952-08-8763445-MacDillAFB-Florida.pdf
4,1952-10-9169473-LONGISLANDNY.txt,C:dur_meta=120.0s_vs_form=1200.0s; E:hedges=18; F:location_mismatch,/Volumes/Expansion/data/1950s/1952-10-9169473-LONGISLANDNY.pdf
4,1952-xx-9614502-[ILLEGIBLE].txt,C:dur_meta=900.0s_vs_form=60.0s; E:hedges=176; F:location_mismatch,/Volumes/Expansion/data/1950s/1952-xx-9614502-[ILLEGIBLE].pdf
4,1953-02-9555833-SanAntonio-Texas.txt,B:witnesses_24_not_in_text; E:hedges=8,/Volumes/Expansion/data/1950s/1953-02-9555833-SanAntonio-Texas.pdf
4,1953-04-6384529-NWKorea.txt,C:dur_meta=15.0s_vs_form=300.0s; E:hedges=7; F:location_mismatch,/Volumes/Expansion/data/1950s/1953-04-6384529-NWKorea.pdf
4,1953-11-6982274-[ILLEGIBLE].txt,C:dur_meta=1200.0s_vs_form=60.0s; E:hedges=29; F:location_mismatch,/Volumes/Expansion/data/1950s/1953-11-6982274-[ILLEGIBLE].pdf
4,1953-xx-9543021-UpperNewYork.txt,B:witnesses_200_not_in_text; F:location_mismatch,/Volumes/Expansion/data/1950s/1953-xx-9543021-UpperNewYork.pdf
4,1954-07-8715290-Hampton-Virginia.txt,C:dur_meta=10.0s_vs_form=600.0s; E:hedges=29; F:location_mismatch,/Volumes/Expansion/data/1950s/1954-07-8715290-Hampton-Virginia.pdf
4,1954-08-8716066-PacificOcean.txt,C:dur_meta=120.0s_vs_form=900.0s; E:hedges=7; F:location_mismatch,/Volumes/Expansion/data/1950s/1954-08-8716066-PacificOcean.pdf
